Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column12,Column13
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-07,2023-08-08,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-07,2023-08-08,휘발유,대형,5인,면책커버보험 포함,2580
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,TOYOTA_FUKUOKA 야쿠인역 앞점,2023-08-08,2023-08-09,휘발유,준중형,5인,면책커버보험 포함,101510
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,중형,5인,면책커버보험 포함,158590
FUKUOKA,FUK,도요타 복시 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,RV,7인,면책커버보험 포함,175160
FUKUOKA,FUK,도요타 알파드 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,RV,7인,면책커버보험 포함,230400
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-08,2023-08-09,휘발유,대형,5인,면책커버보험 포함,2580
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-09,2023-08-10,휘발유,소형,5인,면책커버보험 포함,84940
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-09,2023-08-10,휘발유,SUV,5인,면책커버보험 포함,95980
FUKUOKA,FUK,도요타 복시 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-09,2023-08-10,휘발유,RV,7인,면책커버보험 포함,175160
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-10,2023-08-11,휘발유,소형,5인,면책커버보험 포함,103760
FUKUOKA,FUK,도요타 복시 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-10,2023-08-11,휘발유,RV,7인,면책커버보험 포함,214030
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-11,2023-08-12,휘발유,소형,5인,면책커버보험 포함,103760
FUKUOKA,FUK,혼다 피트 또는 동급차종,니폰 렌터카,2023-08-15,2023-08-16,,소형,5인,스탠다드플랜 포함,82710
FUKUOKA,FUK,도요타 코롤라 또는 동급차종,니폰 렌터카,2023-08-15,2023-08-16,,준중형,5인,스탠다드플랜 포함,100980
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 우스이점국내선위치,2023-08-15,2023-08-16,휘발유,소형,5인,면책커버보험 포함,103760~107880
FUKUOKA,FUK,도요타 프리우스 또는 동급차종,니폰 렌터카,2023-08-15,2023-08-16,,준중형,5인,스탠다드플랜 포함,138730
FUKUOKA,FUK,도요타 캠리 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-15,2023-08-16,휘발유,중형,5인,면책커버보험 포함,193780
FUKUOKA,FUK,도요타 크라운 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-15,2023-08-16,휘발유,대형,5인,면책커버보험 포함,315310
FUKUOKA,FUK,도요타 비츠 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-16,2023-08-17,휘발유,경형,4인,면책커버보험 포함,88000
FUKUOKA,FUK,도요타 코롤라 또는 동급차종,니폰 렌터카,2023-08-16,2023-08-17,,준중형,5인,스탠다드플랜 포함,100980
FUKUOKA,FUK,도요타 아쿠아 또는 동급차종,TOYOTA_FUKUOKA 후쿠오카 국제선점,2023-08-16,2023-08-17,휘발유,소형,5인,면책커버보험 포함,103760~107880
FUKUOKA,FUK,도요타 라이즈 또는 동급차종,TOYOTA_FUKUOKA 나가하마 하카타항점,2023-08-16,2023-08-17,휘발유,SUV,5인,면책커버보험 포함,117260
